order_id,client_order_id,session_id,account_id,instrument_id,side,order_type,qty,filled_qty,remaining_qty,limit_price,stop_price,avg_fill_price,time_in_force,status,created_ts,last_update_ts,reject_reason
ord_c42a706e,daily_buy_1,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,242.2171,DAY,FILLED,2025-01-06T00:00:00+00:00,2025-01-07T00:00:00+00:00,None
ord_97bf440c,daily_buy_2,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,242.7221,DAY,FILLED,2025-01-07T00:00:00+00:00,2025-01-08T00:00:00+00:00,None
ord_2bbb12d4,daily_buy_3,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,236.8865,DAY,FILLED,2025-01-08T00:00:00+00:00,2025-01-10T00:00:00+00:00,None
ord_49bde5a4,daily_buy_4,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,234.4331,DAY,FILLED,2025-01-10T00:00:00+00:00,2025-01-13T00:00:00+00:00,None
ord_ca339e9c,daily_buy_5,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,233.3142,DAY,FILLED,2025-01-13T00:00:00+00:00,2025-01-14T00:00:00+00:00,None
ord_13a7620a,daily_buy_6,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,237.8906,DAY,FILLED,2025-01-14T00:00:00+00:00,2025-01-15T00:00:00+00:00,None
ord_f2b9da24,daily_buy_7,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,228.2965,DAY,FILLED,2025-01-15T00:00:00+00:00,2025-01-16T00:00:00+00:00,None
ord_6af3da20,daily_buy_8,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,230.0045,DAY,FILLED,2025-01-16T00:00:00+00:00,2025-01-17T00:00:00+00:00,None
ord_8fffe656,daily_buy_9,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,222.6436,DAY,FILLED,2025-01-17T00:00:00+00:00,2025-01-21T00:00:00+00:00,None
ord_5e2c73af,daily_buy_10,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,223.8504,DAY,FILLED,2025-01-21T00:00:00+00:00,2025-01-22T00:00:00+00:00,None
ord_9c61dae9,daily_buy_11,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,223.6621,DAY,FILLED,2025-01-22T00:00:00+00:00,2025-01-23T00:00:00+00:00,None
ord_02782f3c,daily_buy_12,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,222.8216,DAY,FILLED,2025-01-23T00:00:00+00:00,2025-01-24T00:00:00+00:00,None
ord_cd4dff9b,daily_buy_13,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,229.9035,DAY,FILLED,2025-01-24T00:00:00+00:00,2025-01-27T00:00:00+00:00,None
ord_fb83e068,daily_buy_14,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,238.276,DAY,FILLED,2025-01-27T00:00:00+00:00,2025-01-28T00:00:00+00:00,None
ord_8769ec64,daily_buy_15,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,239.3748,DAY,FILLED,2025-01-28T00:00:00+00:00,2025-01-29T00:00:00+00:00,None
ord_06031ae8,daily_buy_16,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,237.6265,DAY,FILLED,2025-01-29T00:00:00+00:00,2025-01-30T00:00:00+00:00,None
ord_beee2c3d,daily_buy_17,sess_8b8c5a33,acct_b89113,STOCK:AAPL,BUY,MARKET,10,10,0,None,None,236.0096,DAY,FILLED,2025-01-30T00:00:00+00:00,2025-01-31T00:00:00+00:00,None
